path,difficulty_spoof_prob,engine,dialect,script_id
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000534.wav,0.1922,edgetts,mandarin,SC-000534
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000586.wav,0.2184,edgetts,mandarin,SC-000586
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000729.wav,0.2304,edgetts,mandarin,SC-000729
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000923.wav,0.2358,edgetts,mandarin,SC-000923
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-002349.wav,0.2413,edgetts,mandarin,SC-002349
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001233.wav,0.2466,edgetts,sichuan,SC-001233
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000133.wav,0.2542,edgetts,mandarin,SC-000133
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001406.wav,0.2593,edgetts,mandarin,SC-001406
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-005696.wav,0.2608,edgetts,sichuan,SC-005696
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000158.wav,0.2757,edgetts,mandarin,SC-000158
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000453.wav,0.2847,edgetts,mandarin,SC-000453
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-002156.wav,0.2855,edgetts,mandarin,SC-002156
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001053.wav,0.2855,edgetts,mandarin,SC-001053
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000085.wav,0.2877,edgetts,mandarin,SC-000085
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001987.wav,0.2913,edgetts,mandarin,SC-001987
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-000354.wav,0.2917,edgetts,sichuan,SC-000354
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-005366.wav,0.2922,edgetts,sichuan,SC-005366
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001132.wav,0.2922,edgetts,mandarin,SC-001132
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000977.wav,0.2967,edgetts,mandarin,SC-000977
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000585.wav,0.2975,edgetts,mandarin,SC-000585
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001733.wav,0.2984,edgetts,mandarin,SC-001733
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-001608.wav,0.2995,edgetts,mandarin,SC-001608
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000105.wav,0.3056,edgetts,mandarin,SC-000105
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001979.wav,0.3071,edgetts,mandarin,SC-001979
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000151.wav,0.3089,edgetts,mandarin,SC-000151
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000729.wav,0.3105,edgetts,mandarin,SC-000729
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001318.wav,0.3119,edgetts,mandarin,SC-001318
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-000706.wav,0.3206,edgetts,mandarin,SC-000706
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-001001.wav,0.3211,edgetts,mandarin,SC-001001
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001524.wav,0.322,edgetts,sichuan,SC-001524
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001141.wav,0.3255,edgetts,mandarin,SC-001141
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000060.wav,0.3285,edgetts,mandarin,SC-000060
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-001314.wav,0.3303,edgetts,sichuan,SC-001314
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-002500.wav,0.3317,edgetts,mandarin,SC-002500
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunjianNeural_SC-002377.wav,0.3328,edgetts,mandarin,SC-002377
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-006046.wav,0.3344,edgetts,sichuan,SC-006046
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001102.wav,0.3351,edgetts,mandarin,SC-001102
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-006230.wav,0.3363,edgetts,sichuan,SC-006230
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-006819.wav,0.3385,edgetts,sichuan,SC-006819
data/redteam/factory/edgetts/sichuan/edgetts_sichuan_zh-CN-YunxiNeural_SC-006535.wav,0.3391,edgetts,sichuan,SC-006535
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000110.wav,0.3394,edgetts,mandarin,SC-000110
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000290.wav,0.3394,edgetts,mandarin,SC-000290
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000962.wav,0.3428,edgetts,mandarin,SC-000962
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-000135.wav,0.3438,edgetts,mandarin,SC-000135
data/redteam/factory/edgetts/minnan/edgetts_minnan_zh-TW-YunJheNeural_SC-004727.wav,0.3471,edgetts,minnan,SC-004727
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-001967.wav,0.3471,edgetts,mandarin,SC-001967
data/redteam/factory/edgetts/minnan/edgetts_minnan_zh-TW-YunJheNeural_SC-002668.wav,0.3475,edgetts,minnan,SC-002668
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunyangNeural_SC-002478.wav,0.3487,edgetts,mandarin,SC-002478
