path,label,attack_id,channel,source,license,engine,dialect,script_id,speaker_ref,duration_s,exists,duration_ok,clip_ratio,clip_ok,silence_ratio,silence_ok,pass,acoustic_spoof_score,hard
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000007.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000007,zh-CN-YunxiNeural,14.47,True,True,0.0,True,0.359612724757953,True,True,0.014,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000012.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000012,zh-CN-YunxiNeural,14.78,True,True,0.0,True,0.3870094722598105,True,True,0.001,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000016.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000016,zh-CN-YunxiNeural,7.8,True,True,0.0,True,0.43333333333333335,True,True,0.039,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000019.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000019,zh-CN-YunxiNeural,15.17,True,True,0.0,True,0.42480211081794195,True,True,0.002,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000022.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000022,zh-CN-YunxiNeural,12.77,True,True,0.0,True,0.4012539184952978,True,True,0.013,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000027.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000027,zh-CN-YunxiNeural,7.08,True,True,0.0,True,0.4774011299435028,True,True,0.001,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000001.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000001,zh-CN-YunxiNeural,7.08,True,True,0.0,True,0.480225988700565,True,True,0.012,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000002.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000002,zh-CN-YunxiNeural,15.84,True,True,0.0,True,0.45707070707070707,True,True,0.001,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000003.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000003,zh-CN-YunxiNeural,11.88,True,True,0.0,True,0.4074074074074074,True,True,0.024,True
data/redteam/factory/edgetts/mandarin/edgetts_mandarin_zh-CN-YunxiNeural_SC-000004.wav,spoof,RT-EDGETTS-MANDARIN,clean,redteam_factory/Edge-TTS,微软服务条款，仅研究评测用途,edgetts,mandarin,SC-000004,zh-CN-YunxiNeural,9.17,True,True,0.0,True,0.44541484716157204,True,True,0.001,True
